area_sq_km,box_no,midpoint_lat,midpoint_lon
14.323908995275,77,20.699723319969905,-105.57749999999486
92.5677262259848,78,21.462246464585466,-106.42976057694456
75.6042699090716,79,23.444307481991423,-109.41162064547413
479.684151174263,80,27.033345077652953,-111.40833335000173
9.07207767755246,81,24.703194836080264,-110.30125034592987
126.075115391066,82,24.08040187916037,-109.93550724321379
12672.4262635791,83,25.716571376245554,-110.29418298406082
7630.25933833144,84,26.24034612236871,-110.00576869445389
10201.033091442,85,21.380929307621443,-107.91842461465987
2468.81425464621,86,20.49058247910098,-106.11870086427
43.3654735520273,87,27.217807853576865,-112.07290152940236
202.004758463611,88,23.68016433166148,-109.61718321689013
150.84657057576,89,23.27160853587843,-109.40751825380637
1619.07228901422,90,25.836653276878096,-111.08329008074121
171.391264197895,91,31.23575888485084,-114.34993925339211
11.1609451152993,92,27.44172889553513,-111.88152715054512
2415.5381283628,93,29.852494914126602,-113.10717630575269
4514.93677621421,94,29.550187961291517,-113.26347817542492
1254.81462168758,95,26.227566060788114,-109.22924635500877
1342.83352471833,96,24.997985195210155,-108.1297417362665
1478.55421637904,97,26.43055599888407,-109.43072830522856
1212.49486353814,98,26.732958314057168,-109.86909827582909
1814.43725471661,99,30.19657896463032,-113.91052980710164
186.7028259454,100,31.086377270678916,-113.07705270331537
92.1032772820797,101,23.40306598666984,-106.5304052825245
4106.78750831182,102,22.355884143357258,-105.63662393073291
65.1990678785081,103,23.916905653803322,-106.96695592650435
481.668379021573,104,24.444853701252867,-107.59744338000192
1484.86594774405,105,25.529613635827555,-108.92333433482648
170.102132176034,106,26.716470830877995,-109.51187892075782
1503.59537870079,107,27.54490119051358,-110.4888008440272
84.8695410551555,108,28.785822136514614,-111.88006732184405
660.203991958797,109,28.877337165999514,-113.35308694023172
7.28418200970197,110,24.31795711332766,-110.3272505528389
125.136276730499,111,24.169334204546534,-110.36533392805407
42.7750785115738,112,25.536746955966162,-111.04104395297972
20.1131541578999,113,23.928429782353152,-109.79800216039884
3.57500546477127,114,23.917434909227776,-109.78194240748833
111.512711731524,115,23.85523673874783,-109.7182043577174
123.471088121917,116,31.739624277285312,-114.73977115855105
